#HEADER
#TITLES
 , ,J4206@Steer_Angle.RN_1
#UNITS
 , ,deg
#DATATYPES
Huge,Double,Float
#DATA
0,14.42,0.1898
0,14.43,1.8138
0,14.44,3.4378
0,14.45,5.0618
0,14.46,6.6858
0,14.47,8.3098
0,14.48,9.9338
0,14.49,11.5578
0,14.5,13.1818
0,14.51,14.8058
0,14.52,16.4298
0,14.53,18.0538
0,14.54,19.6778
0,14.55,21.3018
0,14.56,22.9258
0,14.57,24.5498
0,14.58,26.1738
0,14.59,27.7978
0,14.6,29.4218
0,14.61,31.0458
0,14.62,32.6698
0,14.63,34.2938
0,14.64,35.9178
0,14.65,37.5418
0,14.66,39.1658
0,14.67,40.7898
0,14.68,42.4138
0,14.69,44.0378
0,14.7,45.6618
0,14.71,47.2858
0,14.72,48.9098
0,14.73,50.5338
0,14.74,52.1578
0,14.75,53.7818
0,14.76,55.4058
0,14.77,57.0298
0,14.78,58.6538
0,14.79,60.2778
0,14.8,61.9018
0,14.81,63.5258
0,14.82,65.1498
0,14.83,66.7738
0,14.84,68.3978
0,14.85,70.0218
0,14.86,71.6458
0,14.87,73.2698
0,14.88,74.8938
0,14.89,76.5178
0,14.9,78.1418
0,14.91,79.7658
0,14.92,81.3898
0,14.93,83.0138
0,14.94,84.6378
0,14.95,86.2618
0,14.96,87.8858
0,14.97,89.5098
0,14.98,91.1338
0,14.99,92.7578
0,15,94.3818
0,15.01,96.0058
0,15.02,97.6298
0,15.03,99.2538
0,15.04,100.8778
0,15.05,102.5018
0,15.06,104.1258
0,15.07,105.7498
0,15.08,107.3738
0,15.09,108.9978
0,15.1,110.6218
0,15.11,112.2458
0,15.12,113.8698
0,15.13,115.4938
0,15.14,117.1178
0,15.15,118.7418
0,15.16,120.3658
0,15.17,121.9898
0,15.18,123.6138
0,15.19,125.2378
0,15.2,126.8618
0,15.21,128.4858
0,15.22,130.1098
0,15.23,131.7338
0,15.24,133.3578
0,15.25,134.9818
