#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,30.22338,-2.880258
2,0.01000,30.22501,-2.786673
3,0.02000,30.22659,-2.698242
4,0.03000,30.22813,-2.615556
5,0.04000,30.22965,-2.539127
6,0.05000,30.23115,-2.469383
7,0.06000,30.23266,-2.406658
8,0.07000,30.23419,-2.351192
9,0.08000,30.23576,-2.303122
10,0.09000,30.2374,-2.262486
11,0.10000,30.23914,-2.229213
12,0.11000,30.241,-2.203131
13,0.12000,30.243,-2.183968
14,0.13000,30.24519,-2.171353
15,0.14000,30.2476,-2.164823
16,0.15000,30.25025,-2.16383
17,0.16000,30.25318,-2.167749
18,0.17000,30.25641,-2.17589
19,0.18000,30.25999,-2.187508
20,0.19000,30.26394,-2.201819
21,0.20000,30.26829,-2.218012
22,0.21000,30.27305,-2.23527
23,0.22000,30.27825,-2.252782
24,0.23000,30.28392,-2.269768
25,0.24000,30.29005,-2.285495
26,0.25000,30.29667,-2.299298
27,0.26000,30.30376,-2.310605
28,0.27000,30.31133,-2.318953
29,0.28000,30.31936,-2.324015
30,0.29000,30.32784,-2.32562
31,0.30000,30.33674,-2.323773
32,0.31000,30.34603,-2.318676
33,0.32000,30.35566,-2.310749
34,0.33000,30.36559,-2.300648
35,0.34000,30.37577,-2.289278
36,0.35000,30.38612,-2.277812
37,0.36000,30.39659,-2.267701
38,0.37000,30.4071,-2.260681
39,0.38000,30.41757,-2.258781
40,0.39000,30.42793,-2.264322
41,0.40000,30.43809,-2.279917
42,0.41000,30.44798,-2.308466
43,0.42000,30.45752,-2.35314
44,0.43000,30.46664,-2.417368
45,0.44000,30.47527,-2.504818
46,0.45000,30.48335,-2.619367
47,0.46000,30.49083,-2.765078
48,0.47000,30.49766,-2.94616
49,0.48000,30.50381,-3.166936
50,0.49000,30.50924,-3.431798
51,0.50000,30.51396,-3.745164
52,0.51000,30.51794,-4.111437
53,0.52000,30.52119,-4.534954
54,0.53000,30.52373,-5.01994
55,0.54000,30.52557,-5.570464
56,0.55000,30.52676,-6.19039
57,0.56000,30.52731,-6.883337
58,0.57000,30.52729,-7.652635
59,0.58000,30.52673,-8.501292
60,0.59000,30.52569,-9.431961
61,0.60000,30.52423,-10.44691
62,0.61000,30.5224,-11.54798
63,0.62000,30.52027,-12.73662
64,0.63000,30.51789,-14.01382
65,0.64000,30.51532,-15.38011
66,0.65000,30.51262,-16.83558
67,0.66000,30.50985,-18.37989
68,0.67000,30.50704,-20.01223
69,0.68000,30.50426,-21.73138
70,0.69000,30.50153,-23.5357
71,0.70000,30.4989,-25.42316
72,0.71000,30.4964,-27.39136
73,0.72000,30.49405,-29.43755
74,0.73000,30.49189,-31.55865
75,0.74000,30.48992,-33.75132
76,0.75000,30.48816,-36.0119
77,0.76000,30.48662,-38.33654
78,0.77000,30.48531,-40.72113
79,0.78000,30.48421,-43.16139
80,0.79000,30.48335,-45.65288
81,0.80000,30.48269,-48.19097
82,0.81000,30.48224,-50.77092
83,0.82000,30.482,-53.38787
84,0.83000,30.48194,-56.03682
85,0.84000,30.48207,-58.7127
86,0.85000,30.48235,-61.41031
87,0.86000,30.48278,-64.12439
88,0.87000,30.48336,-66.84959
89,0.88000,30.48405,-69.58047
90,0.89000,30.48486,-72.31157
91,0.90000,30.48577,-75.0373
92,0.91000,30.48678,-77.75209
93,0.92000,30.48786,-80.45029
94,0.93000,30.48902,-83.12626
95,0.94000,30.49024,-85.77432
96,0.95000,30.49153,-88.38885
97,0.96000,30.49288,-90.96423
98,0.97000,30.49428,-93.49493
99,0.98000,30.49574,-95.97552
100,0.99000,30.49725,-98.40067
101,1.00000,30.49882,-100.7652
102,1.01000,30.50045,-103.0643
103,1.02000,30.50214,-105.2931
104,1.03000,30.5039,-107.4472
105,1.04000,30.50573,-109.5224
106,1.05000,30.50764,-111.5151
107,1.06000,30.50963,-113.4217
108,1.07000,30.51171,-115.2393
109,1.08000,30.51388,-116.9652
110,1.09000,30.51614,-118.5974
111,1.10000,30.51851,-120.1341
112,1.11000,30.52097,-121.5741
113,1.12000,30.52353,-122.9165
114,1.13000,30.52619,-124.1609
115,1.14000,30.52896,-125.3073
116,1.15000,30.53181,-126.356
117,1.16000,30.53476,-127.3076
118,1.17000,30.53778,-128.163
119,1.18000,30.54089,-128.9233
120,1.19000,30.54406,-129.5896
121,1.20000,30.54729,-130.1633
122,1.21000,30.55056,-130.6455
123,1.22000,30.55387,-131.0373
124,1.23000,30.55721,-131.3398
125,1.24000,30.56055,-131.5537
126,1.25000,30.5639,-131.6795
127,1.26000,30.56723,-131.7172
128,1.27000,30.57055,-131.6665
129,1.28000,30.57383,-131.5268
130,1.29000,30.57707,-131.2968
131,1.30000,30.58026,-130.9747
132,1.31000,30.58338,-130.5585
133,1.32000,30.58643,-130.0454
134,1.33000,30.58941,-129.4323
135,1.34000,30.59229,-128.7157
136,1.35000,30.59507,-127.8915
137,1.36000,30.59776,-126.9557
138,1.37000,30.60032,-125.9038
139,1.38000,30.60277,-124.7311
140,1.39000,30.6051,-123.4331
141,1.40000,30.60729,-122.0052
142,1.41000,30.60934,-120.443
143,1.42000,30.61126,-118.7424
144,1.43000,30.61303,-116.8999
145,1.44000,30.61466,-114.9123
146,1.45000,30.61614,-112.7772
147,1.46000,30.61748,-110.4928
148,1.47000,30.61868,-108.0584
149,1.48000,30.61973,-105.474
150,1.49000,30.62065,-102.7409
151,1.50000,30.62145,-99.86114
152,1.51000,30.62212,-96.83819
153,1.52000,30.62269,-93.67651
154,1.53000,30.62315,-90.38173
155,1.54000,30.62352,-86.96062
156,1.55000,30.62381,-83.421
157,1.56000,30.62403,-79.77173
158,1.57000,30.6242,-76.02259
159,1.58000,30.62433,-72.18419
160,1.59000,30.62443,-68.26784
161,1.60000,30.62451,-64.28542
162,1.61000,30.62458,-60.24926
163,1.62000,30.62467,-56.17192
164,1.63000,30.62477,-52.06607
165,1.64000,30.6249,-47.94435
166,1.65000,30.62508,-43.81915
167,1.66000,30.6253,-39.70249
168,1.67000,30.62557,-35.60587
169,1.68000,30.6259,-31.54014
170,1.69000,30.6263,-27.51537
171,1.70000,30.62677,-23.54075
172,1.71000,30.62731,-19.62454
173,1.72000,30.62792,-15.77398
174,1.73000,30.62859,-11.9953
175,1.74000,30.62933,-8.29363
176,1.75000,30.63014,-4.6731
177,1.76000,30.631,-1.136809
178,1.77000,30.63191,2.313106
179,1.78000,30.63286,5.67541
180,1.79000,30.63385,8.949697
181,1.80000,30.63487,12.13629
182,1.81000,30.6359,15.23617
183,1.82000,30.63695,18.25084
184,1.83000,30.63799,21.18225
185,1.84000,30.63902,24.03267
186,1.85000,30.64004,26.8046
187,1.86000,30.64103,29.50068
188,1.87000,30.64198,32.12357
189,1.88000,30.64289,34.67588
190,1.89000,30.64376,37.16012
191,1.90000,30.64457,39.57858
192,1.91000,30.64532,41.9333
193,1.92000,30.646,44.22606
194,1.93000,30.64662,46.45827
195,1.94000,30.64716,48.63103
196,1.95000,30.64763,50.74508
197,1.96000,30.64802,52.80079
198,1.97000,30.64834,54.79821
199,1.98000,30.64857,56.73705
200,1.99000,30.64873,58.61673
201,2.00000,30.6488,60.43643
202,2.01000,30.64879,62.19511
203,2.02000,30.64871,63.89159
204,2.03000,30.64854,65.52455
205,2.04000,30.6483,67.09264
206,2.05000,30.64797,68.59454
207,2.06000,30.64757,70.02894
208,2.07000,30.64709,71.39469
209,2.08000,30.64655,72.69081
210,2.09000,30.64592,73.91651
211,2.10000,30.64523,75.0713
212,2.11000,30.64447,76.15498
213,2.12000,30.64364,77.16765
214,2.13000,30.64276,78.10981
215,2.14000,30.64181,78.9823
216,2.15000,30.6408,79.78633
217,2.16000,30.63975,80.52351
218,2.17000,30.63864,81.19578
219,2.18000,30.63749,81.80544
220,2.19000,30.63629,82.3551
221,2.20000,30.63506,82.84768
222,2.21000,30.63379,83.28632
223,2.22000,30.6325,83.67439
224,2.23000,30.63117,84.0154
225,2.24000,30.62983,84.31302
226,2.25000,30.62848,84.57094
227,2.26000,30.62711,84.79289
228,2.27000,30.62573,84.98258
229,2.28000,30.62435,85.14362
230,2.29000,30.62297,85.27951
231,2.30000,30.6216,85.39357
232,2.31000,30.62024,85.48891
233,2.32000,30.6189,85.56842
234,2.33000,30.61758,85.63467
235,2.34000,30.61629,85.68993
236,2.35000,30.61504,85.73618
237,2.36000,30.61382,85.77498
238,2.37000,30.61266,85.80757
