#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,30.7802,16.55308
2,0.01000,30.77791,16.63552
3,0.02000,30.77556,16.72497
4,0.03000,30.77314,16.82169
5,0.04000,30.77065,16.92599
6,0.05000,30.76809,17.03815
7,0.06000,30.76545,17.1585
8,0.07000,30.76274,17.28739
9,0.08000,30.75995,17.42526
10,0.09000,30.75708,17.57262
11,0.10000,30.75414,17.73013
12,0.11000,30.75111,17.89856
13,0.12000,30.74801,18.07886
14,0.13000,30.74485,18.2722
15,0.14000,30.74161,18.47996
16,0.15000,30.73832,18.70378
17,0.16000,30.73497,18.94558
18,0.17000,30.73158,19.20758
19,0.18000,30.72816,19.49234
20,0.19000,30.7247,19.80274
21,0.20000,30.72124,20.14201
22,0.21000,30.71776,20.51373
23,0.22000,30.71429,20.92183
24,0.23000,30.71084,21.37058
25,0.24000,30.70742,21.86456
26,0.25000,30.70404,22.40865
27,0.26000,30.70071,23.00797
28,0.27000,30.69743,23.66788
29,0.28000,30.69423,24.39388
30,0.29000,30.6911,25.19157
31,0.30000,30.68805,26.06659
32,0.31000,30.68509,27.02454
33,0.32000,30.68224,28.07087
34,0.33000,30.67949,29.21085
35,0.34000,30.67684,30.4494
36,0.35000,30.67431,31.79109
37,0.36000,30.67189,33.23994
38,0.37000,30.66959,34.79943
39,0.38000,30.66741,36.4723
40,0.39000,30.66534,38.26056
41,0.40000,30.66339,40.16533
42,0.41000,30.66155,42.18679
43,0.42000,30.65982,44.32413
44,0.43000,30.65819,46.57547
45,0.44000,30.65665,48.93783
46,0.45000,30.6552,51.40707
47,0.46000,30.65381,53.97792
48,0.47000,30.65247,56.64397
49,0.48000,30.65117,59.39764
50,0.49000,30.64989,62.2303
51,0.50000,30.64861,65.13228
52,0.51000,30.6473,68.09293
53,0.52000,30.64594,71.10075
54,0.53000,30.64451,74.14346
55,0.54000,30.64297,77.20819
56,0.55000,30.64131,80.28154
57,0.56000,30.63948,83.34978
58,0.57000,30.63748,86.39901
59,0.58000,30.63526,89.4153
60,0.59000,30.6328,92.3849
61,0.60000,30.63008,95.29437
62,0.61000,30.62707,98.13081
63,0.62000,30.62374,100.882
64,0.63000,30.62008,103.5364
65,0.64000,30.61608,106.0837
66,0.65000,30.6117,108.5145
67,0.66000,30.60695,110.8206
68,0.67000,30.60181,112.9953
69,0.68000,30.59628,115.0331
70,0.69000,30.59036,116.93
71,0.70000,30.58407,118.6834
72,0.71000,30.5774,120.2921
73,0.72000,30.57039,121.7565
74,0.73000,30.56304,123.0781
75,0.74000,30.5554,124.26
76,0.75000,30.54748,125.3063
77,0.76000,30.53933,126.2223
78,0.77000,30.53099,127.0141
79,0.78000,30.5225,127.6889
80,0.79000,30.51391,128.2543
81,0.80000,30.50526,128.7185
82,0.81000,30.49661,129.0901
83,0.82000,30.488,129.378
84,0.83000,30.47948,129.5908
85,0.84000,30.47109,129.7374
86,0.85000,30.46287,129.826
87,0.86000,30.45486,129.8647
88,0.87000,30.44711,129.861
89,0.88000,30.43963,129.8216
90,0.89000,30.43245,129.7527
91,0.90000,30.4256,129.6595
92,0.91000,30.41908,129.5462
93,0.92000,30.41292,129.4164
94,0.93000,30.40712,129.2724
95,0.94000,30.40168,129.1157
96,0.95000,30.39661,128.9467
97,0.96000,30.39189,128.7649
98,0.97000,30.38752,128.5688
99,0.98000,30.38348,128.3562
100,0.99000,30.37977,128.1237
101,1.00000,30.37637,127.8676
102,1.01000,30.37325,127.5831
103,1.02000,30.37039,127.2652
104,1.03000,30.36777,126.908
105,1.04000,30.36536,126.5057
106,1.05000,30.36313,126.0518
107,1.06000,30.36105,125.5399
108,1.07000,30.35909,124.9636
109,1.08000,30.35721,124.3163
110,1.09000,30.35538,123.5917
111,1.10000,30.35357,122.7839
112,1.11000,30.35174,121.8871
113,1.12000,30.34985,120.8962
114,1.13000,30.34787,119.8065
115,1.14000,30.34576,118.614
116,1.15000,30.34348,117.315
117,1.16000,30.34102,115.9071
118,1.17000,30.33833,114.388
119,1.18000,30.33538,112.7568
120,1.19000,30.33214,111.0128
121,1.20000,30.32859,109.1565
122,1.21000,30.32471,107.189
123,1.22000,30.32046,105.1123
124,1.23000,30.31583,102.9288
125,1.24000,30.31081,100.6421
126,1.25000,30.30538,98.25603
127,1.26000,30.29954,95.77524
128,1.27000,30.29327,93.20486
129,1.28000,30.28658,90.55053
130,1.29000,30.27947,87.81829
131,1.30000,30.27196,85.01452
132,1.31000,30.26405,82.14586
133,1.32000,30.25576,79.21918
134,1.33000,30.24713,76.24142
135,1.34000,30.23818,73.21961
136,1.35000,30.22895,70.16074
137,1.36000,30.21947,67.07172
138,1.37000,30.20979,63.9593
139,1.38000,30.19996,60.83004
140,1.39000,30.19002,57.69024
141,1.40000,30.18003,54.54593
142,1.41000,30.17004,51.40277
143,1.42000,30.1601,48.26612
144,1.43000,30.15026,45.14094
145,1.44000,30.14058,42.03181
146,1.45000,30.13109,38.94293
147,1.46000,30.12185,35.87814
148,1.47000,30.11288,32.84088
149,1.48000,30.10425,29.83427
150,1.49000,30.09596,26.86108
151,1.50000,30.08807,23.92379
152,1.51000,30.08058,21.0246
153,1.52000,30.07352,18.16548
154,1.53000,30.06692,15.34819
155,1.54000,30.06079,12.57432
156,1.55000,30.05513,9.845347
157,1.56000,30.04997,7.162621
158,1.57000,30.0453,4.527443
159,1.58000,30.04113,1.941074
160,1.59000,30.03746,-0.5952357
161,1.60000,30.0343,-3.080221
162,1.61000,30.03163,-5.512584
163,1.62000,30.02946,-7.890982
164,1.63000,30.02777,-10.21402
165,1.64000,30.02655,-12.48022
166,1.65000,30.02579,-14.68809
167,1.66000,30.02548,-16.83603
168,1.67000,30.02559,-18.92242
169,1.68000,30.02611,-20.9456
170,1.69000,30.02702,-22.90389
171,1.70000,30.02828,-24.79561
172,1.71000,30.02986,-26.61909
173,1.72000,30.03175,-28.37275
174,1.73000,30.03391,-30.05503
175,1.74000,30.0363,-31.6645
176,1.75000,30.03889,-33.19987
177,1.76000,30.04165,-34.66002
178,1.77000,30.04454,-36.04397
179,1.78000,30.04753,-37.35102
180,1.79000,30.05059,-38.58067
181,1.80000,30.05367,-39.73273
182,1.81000,30.05677,-40.80727
183,1.82000,30.05983,-41.80466
184,1.83000,30.06285,-42.72563
185,1.84000,30.0658,-43.57119
186,1.85000,30.06865,-44.34272
187,1.86000,30.0714,-45.04189
188,1.87000,30.07404,-45.67072
189,1.88000,30.07656,-46.23153
190,1.89000,30.07895,-46.72692
191,1.90000,30.08122,-47.15979
192,1.91000,30.08337,-47.53326
193,1.92000,30.08541,-47.8507
194,1.93000,30.08736,-48.11567
195,1.94000,30.08922,-48.33193
196,1.95000,30.09101,-48.50336
197,1.96000,30.09276,-48.63401
198,1.97000,30.09448,-48.728
199,1.98000,30.09619,-48.78955
200,1.99000,30.09791,-48.82297
201,2.00000,30.09967,-48.83259
202,2.01000,30.10148,-48.8228
203,2.02000,30.10337,-48.79798
204,2.03000,30.10535,-48.76256
205,2.04000,30.10744,-48.72093
206,2.05000,30.10966,-48.67748
207,2.06000,30.112,-48.63658
208,2.07000,30.11449,-48.60254
209,2.08000,30.11712,-48.57964
210,2.09000,30.11991,-48.57208
211,2.10000,30.12284,-48.58398
212,2.11000,30.1259,-48.61937
213,2.12000,30.1291,-48.68214
214,2.13000,30.13242,-48.77605
215,2.14000,30.13584,-48.90469
216,2.15000,30.13934,-49.07147
217,2.16000,30.14291,-49.27955
218,2.17000,30.14651,-49.53186
219,2.18000,30.15014,-49.83105
220,2.19000,30.15376,-50.17945
221,2.20000,30.15736,-50.57904
222,2.21000,30.1609,-51.03147
223,2.22000,30.16438,-51.53794
224,2.23000,30.16777,-52.09928
225,2.24000,30.17105,-52.71584
226,2.25000,30.17423,-53.38752
227,2.26000,30.17729,-54.11376
228,2.27000,30.18023,-54.8935
229,2.28000,30.18306,-55.72522
230,2.29000,30.18578,-56.60688
231,2.30000,30.1884,-57.53599
232,2.31000,30.19096,-58.50959
233,2.32000,30.19346,-59.52431
234,2.33000,30.19595,-60.57632
235,2.34000,30.19844,-61.66144
236,2.35000,30.20098,-62.77515
237,2.36000,30.2036,-63.91264
238,2.37000,30.20634,-65.06882
239,2.38000,30.20925,-66.23844
240,2.39000,30.21236,-67.41611
241,2.40000,30.21572,-68.59632
242,2.41000,30.21937,-69.77357
243,2.42000,30.22335,-70.94239
244,2.43000,30.22769,-72.0974
