#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,48.93348,-13.2342
2,0.01000,48.93221,-14.05749
3,0.02000,48.9309,-14.94932
4,0.03000,48.92958,-15.91217
5,0.04000,48.92824,-16.94816
6,0.05000,48.92689,-18.05893
7,0.06000,48.92552,-19.24568
8,0.07000,48.92416,-20.50906
9,0.08000,48.92279,-21.84919
10,0.09000,48.92143,-23.26558
11,0.10000,48.92007,-24.75712
12,0.11000,48.91874,-26.32208
13,0.12000,48.91741,-27.95807
14,0.13000,48.91611,-29.66206
15,0.14000,48.91483,-31.43035
16,0.15000,48.91358,-33.25862
17,0.16000,48.91236,-35.14192
18,0.17000,48.91118,-37.07471
19,0.18000,48.91005,-39.0509
20,0.19000,48.90895,-41.06388
21,0.20000,48.90791,-43.10658
22,0.21000,48.90692,-45.17151
23,0.22000,48.90599,-47.25085
24,0.23000,48.90511,-49.33649
25,0.24000,48.9043,-51.42012
26,0.25000,48.90355,-53.49328
27,0.26000,48.90287,-55.54747
28,0.27000,48.90225,-57.57419
29,0.28000,48.9017,-59.56504
30,0.29000,48.90121,-61.5118
31,0.30000,48.90078,-63.40648
32,0.31000,48.90042,-65.2414
33,0.32000,48.90011,-67.00927
34,0.33000,48.89986,-68.70323
35,0.34000,48.89966,-70.31693
36,0.35000,48.8995,-71.84455
37,0.36000,48.89939,-73.28088
38,0.37000,48.89931,-74.6213
39,0.38000,48.89926,-75.86185
40,0.39000,48.89923,-76.99923
41,0.40000,48.89922,-78.03081
42,0.41000,48.89923,-78.95462
43,0.42000,48.89924,-79.76933
44,0.43000,48.89926,-80.47428
45,0.44000,48.89927,-81.06937
46,0.45000,48.89927,-81.55511
47,0.46000,48.89927,-81.93248
48,0.47000,48.89924,-82.20299
49,0.48000,48.8992,-82.36854
50,0.49000,48.89914,-82.43139
51,0.50000,48.89906,-82.3941
52,0.51000,48.89895,-82.25948
53,0.52000,48.89883,-82.03049
54,0.53000,48.89869,-81.71021
55,0.54000,48.89853,-81.30173
56,0.55000,48.89837,-80.80819
57,0.56000,48.89819,-80.23259
58,0.57000,48.89801,-79.57784
59,0.58000,48.89784,-78.84669
60,0.59000,48.89768,-78.04163
61,0.60000,48.89754,-77.16494
62,0.61000,48.89743,-76.21861
63,0.62000,48.89735,-75.20432
64,0.63000,48.89732,-74.12345
65,0.64000,48.89735,-72.97702
66,0.65000,48.89744,-71.76575
67,0.66000,48.89761,-70.49003
68,0.67000,48.89786,-69.14991
69,0.68000,48.8982,-67.74519
70,0.69000,48.89864,-66.27534
71,0.70000,48.89919,-64.73965
72,0.71000,48.89985,-63.13714
73,0.72000,48.90063,-61.46669
74,0.73000,48.90153,-59.72702
75,0.74000,48.90255,-57.91677
76,0.75000,48.90368,-56.03452
77,0.76000,48.90493,-54.07883
78,0.77000,48.90629,-52.04834
79,0.78000,48.90776,-49.94171
80,0.79000,48.90931,-47.75777
81,0.80000,48.91095,-45.4955
82,0.81000,48.91264,-43.15409
83,0.82000,48.91438,-40.73301
84,0.83000,48.91615,-38.23198
85,0.84000,48.91791,-35.6511
86,0.85000,48.91965,-32.99081
87,0.86000,48.92133,-30.252
88,0.87000,48.92292,-27.43595
89,0.88000,48.92439,-24.54448
90,0.89000,48.9257,-21.57986
91,0.90000,48.92681,-18.54495
92,0.91000,48.92768,-15.44314
93,0.92000,48.92827,-12.27839
94,0.93000,48.92854,-9.055288
95,0.94000,48.92842,-5.778999
96,0.95000,48.9279,-2.455307
97,0.96000,48.92691,0.9094047
98,0.97000,48.92541,4.308161
99,0.98000,48.92336,7.733417
100,0.99000,48.92071,11.17709
101,1.00000,48.91742,14.6306
102,1.01000,48.91346,18.08491
103,1.02000,48.9088,21.5306
104,1.03000,48.90339,24.95795
105,1.04000,48.89723,28.35699
106,1.05000,48.89029,31.71762
107,1.06000,48.88256,35.02969
108,1.07000,48.87404,38.2831
109,1.08000,48.86474,41.46795
110,1.09000,48.85468,44.57461
111,1.10000,48.84386,47.59383
112,1.11000,48.83235,50.5169
113,1.12000,48.82017,53.3357
114,1.13000,48.80738,56.04283
115,1.14000,48.79405,58.63171
116,1.15000,48.78025,61.09663
117,1.16000,48.76606,63.43283
118,1.17000,48.75157,65.63657
119,1.18000,48.73687,67.70515
120,1.19000,48.72206,69.63692
121,1.20000,48.70724,71.4313
122,1.21000,48.6925,73.08875
123,1.22000,48.67795,74.61076
124,1.23000,48.66367,75.99975
125,1.24000,48.64977,77.25905
126,1.25000,48.63631,78.39281
127,1.26000,48.62337,79.40588
128,1.27000,48.61103,80.30371
129,1.28000,48.59934,81.09228
130,1.29000,48.58835,81.77791
131,1.30000,48.57809,82.3672
132,1.31000,48.5686,82.86687
133,1.32000,48.55989,83.28364
134,1.33000,48.55197,83.62414
135,1.34000,48.54484,83.89476
136,1.35000,48.5385,84.1016
137,1.36000,48.53292,84.2503
138,1.37000,48.5281,84.34603
139,1.38000,48.524,84.39339
140,1.39000,48.52058,84.39635
141,1.40000,48.51783,84.3582
142,1.41000,48.51569,84.28157
143,1.42000,48.51411,84.16836
144,1.43000,48.51307,84.01978
145,1.44000,48.51252,83.83636
146,1.45000,48.5124,83.61796
147,1.46000,48.51267,83.36385
148,1.47000,48.51328,83.07275
149,1.48000,48.5142,82.74287
150,1.49000,48.51537,82.37202
151,1.50000,48.51675,81.95765
152,1.51000,48.51831,81.49701
153,1.52000,48.52,80.98714
154,1.53000,48.52177,80.42501
155,1.54000,48.52361,79.80765
156,1.55000,48.52547,79.13212
157,1.56000,48.52733,78.39572
158,1.57000,48.52915,77.59598
159,1.58000,48.53091,76.73074
160,1.59000,48.53259,75.79823
161,1.60000,48.53415,74.79714
162,1.61000,48.5356,73.72659
163,1.62000,48.53691,72.58624
164,1.63000,48.53807,71.37626
165,1.64000,48.53907,70.09735
166,1.65000,48.53989,68.75076
167,1.66000,48.54055,67.33829
168,1.67000,48.54102,65.86223
169,1.68000,48.54131,64.32541
170,1.69000,48.54142,62.7311
171,1.70000,48.54136,61.08305
172,1.71000,48.54112,59.38541
173,1.72000,48.54072,57.64271
174,1.73000,48.54016,55.8598
175,1.74000,48.53945,54.04187
176,1.75000,48.5386,52.19436
177,1.76000,48.53762,50.3229
178,1.77000,48.53653,48.43337
179,1.78000,48.53533,46.53176
180,1.79000,48.53403,44.6242
181,1.80000,48.53266,42.71688
182,1.81000,48.53122,40.81609
183,1.82000,48.52972,38.92812
184,1.83000,48.52819,37.05925
185,1.84000,48.52662,35.21574
186,1.85000,48.52502,33.40379
187,1.86000,48.52341,31.62953
188,1.87000,48.52181,29.89896
189,1.88000,48.52021,28.21796
190,1.89000,48.51863,26.59224
191,1.90000,48.51708,25.02731
192,1.91000,48.51556,23.5285
193,1.92000,48.51407,22.10087
194,1.93000,48.51264,20.74922
195,1.94000,48.51125,19.47807
196,1.95000,48.50993,18.29163
197,1.96000,48.50866,17.19374
198,1.97000,48.50747,16.18792
199,1.98000,48.50635,15.27728
200,1.99000,48.5053,14.46455
201,2.00000,48.50434,13.75203
202,2.01000,48.50345,13.14162
203,2.02000,48.50265,12.63477
204,2.03000,48.50193,12.23248
205,2.04000,48.50129,11.93536
206,2.05000,48.50074,11.74353
207,2.06000,48.50026,11.65674
208,2.07000,48.49986,11.6743
209,2.08000,48.49954,11.79513
210,2.09000,48.49928,12.0178
211,2.10000,48.49907,12.34053
212,2.11000,48.49892,12.76123
213,2.12000,48.49882,13.27753
214,2.13000,48.49874,13.88684
215,2.14000,48.4987,14.58634
216,2.15000,48.49866,15.37309
217,2.16000,48.49862,16.244
218,2.17000,48.49857,17.19592
219,2.18000,48.4985,18.22565
220,2.19000,48.49839,19.32999
221,2.20000,48.49823,20.50579
222,2.21000,48.49802,21.74994
223,2.22000,48.49773,23.05943
224,2.23000,48.49736,24.43138
225,2.24000,48.49691,25.863
226,2.25000,48.49635,27.35166
227,2.26000,48.49568,28.89487
228,2.27000,48.4949,30.49028
229,2.28000,48.494,32.13565
230,2.29000,48.49298,33.82885
231,2.30000,48.49183,35.56786
232,2.31000,48.49057,37.35071
233,2.32000,48.48918,39.17543
234,2.33000,48.48767,41.04008
235,2.34000,48.48606,42.94265
236,2.35000,48.48434,44.88104
237,2.36000,48.48252,46.85301
238,2.37000,48.48061,48.85614
239,2.38000,48.47863,50.88781
240,2.39000,48.47658,52.94511
241,2.40000,48.47448,55.02487
242,2.41000,48.47234,57.12358
243,2.42000,48.47016,59.2374
