#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,34.75012,15.3828
2,0.01000,34.75131,15.44109
3,0.02000,34.75254,15.52708
4,0.03000,34.75382,15.64382
5,0.04000,34.75513,15.79431
6,0.05000,34.75647,15.98146
7,0.06000,34.75784,16.20813
8,0.07000,34.75922,16.47705
9,0.08000,34.76061,16.7908
10,0.09000,34.762,17.1518
11,0.10000,34.7634,17.56229
12,0.11000,34.76479,18.02431
13,0.12000,34.76616,18.53962
14,0.13000,34.76751,19.10979
15,0.14000,34.76883,19.73609
16,0.15000,34.77013,20.4195
17,0.16000,34.77138,21.16072
18,0.17000,34.77259,21.96013
19,0.18000,34.77375,22.81782
20,0.19000,34.77485,23.73355
21,0.20000,34.7759,24.70677
22,0.21000,34.77688,25.73663
23,0.22000,34.7778,26.82197
24,0.23000,34.77865,27.96134
25,0.24000,34.77943,29.15303
26,0.25000,34.78013,30.39506
27,0.26000,34.78077,31.68523
28,0.27000,34.78133,33.02111
29,0.28000,34.78182,34.40011
30,0.29000,34.78225,35.81946
31,0.30000,34.78262,37.27627
32,0.31000,34.78292,38.76754
33,0.32000,34.78318,40.2902
34,0.33000,34.78339,41.84112
35,0.34000,34.78356,43.41716
36,0.35000,34.7837,45.01517
37,0.36000,34.78382,46.63203
38,0.37000,34.78392,48.26466
39,0.38000,34.78402,49.91004
40,0.39000,34.78412,51.56522
41,0.40000,34.78423,53.22734
42,0.41000,34.78437,54.89364
43,0.42000,34.78453,56.56144
44,0.43000,34.78473,58.22819
45,0.44000,34.78496,59.8914
46,0.45000,34.78525,61.54873
47,0.46000,34.78559,63.19791
48,0.47000,34.78599,64.83675
49,0.48000,34.78645,66.46314
50,0.49000,34.78697,68.07508
51,0.50000,34.78755,69.67059
52,0.51000,34.7882,71.24776
53,0.52000,34.7889,72.80473
54,0.53000,34.78967,74.33965
55,0.54000,34.79049,75.85072
56,0.55000,34.79135,77.33615
57,0.56000,34.79226,78.79417
58,0.57000,34.7932,80.22298
59,0.58000,34.79417,81.62084
60,0.59000,34.79515,82.98596
61,0.60000,34.79615,84.31657
62,0.61000,34.79715,85.61089
63,0.62000,34.79815,86.86713
64,0.63000,34.79913,88.08351
65,0.64000,34.80008,89.25822
66,0.65000,34.801,90.38944
67,0.66000,34.80188,91.47536
68,0.67000,34.80272,92.51413
69,0.68000,34.80351,93.50389
70,0.69000,34.80425,94.44276
71,0.70000,34.80492,95.32883
72,0.71000,34.80554,96.16016
73,0.72000,34.80609,96.93477
74,0.73000,34.80658,97.65063
75,0.74000,34.80701,98.3057
76,0.75000,34.80737,98.89783
77,0.76000,34.80767,99.42488
78,0.77000,34.80792,99.88459
79,0.78000,34.80811,100.2747
80,0.79000,34.80825,100.5928
81,0.80000,34.80834,100.8366
82,0.81000,34.80838,101.0037
83,0.82000,34.80839,101.0915
84,0.83000,34.80836,101.0976
85,0.84000,34.80831,101.0196
86,0.85000,34.80822,100.855
87,0.86000,34.80812,100.6014
88,0.87000,34.808,100.2566
89,0.88000,34.80787,99.81833
90,0.89000,34.80772,99.28461
91,0.90000,34.80758,98.65361
92,0.91000,34.80743,97.92373
93,0.92000,34.80728,97.09362
94,0.93000,34.80714,96.16228
95,0.94000,34.807,95.12901
96,0.95000,34.80687,93.99354
97,0.96000,34.80675,92.75597
98,0.97000,34.80664,91.41686
99,0.98000,34.80654,89.97726
100,0.99000,34.80645,88.4387
101,1.00000,34.80637,86.80321
102,1.01000,34.80631,85.07336
103,1.02000,34.80626,83.25224
104,1.03000,34.80622,81.34345
105,1.04000,34.8062,79.35115
106,1.05000,34.80619,77.27996
107,1.06000,34.80618,75.13503
108,1.07000,34.80619,72.92194
109,1.08000,34.80621,70.64674
110,1.09000,34.80623,68.31586
111,1.10000,34.80627,65.93612
112,1.11000,34.8063,63.51463
113,1.12000,34.80635,61.05882
114,1.13000,34.8064,58.5763
115,1.14000,34.80646,56.07491
116,1.15000,34.80651,53.56258
117,1.16000,34.80658,51.04734
118,1.17000,34.80664,48.5372
119,1.18000,34.80671,46.04017
120,1.19000,34.80677,43.56413
121,1.20000,34.80684,41.11681
122,1.21000,34.8069,38.70575
123,1.22000,34.80697,36.33819
124,1.23000,34.80703,34.02106
125,1.24000,34.80709,31.76094
126,1.25000,34.80714,29.56392
127,1.26000,34.80719,27.43567
128,1.27000,34.80724,25.38128
129,1.28000,34.80728,23.40532
130,1.29000,34.80731,21.51172
131,1.30000,34.80733,19.70375
132,1.31000,34.80735,17.98402
133,1.32000,34.80735,16.35443
134,1.33000,34.80735,14.81616
135,1.34000,34.80733,13.36963
136,1.35000,34.8073,12.01453
137,1.36000,34.80726,10.74979
138,1.37000,34.80721,9.573614
139,1.38000,34.80714,8.483453
140,1.39000,34.80706,7.476066
141,1.40000,34.80697,6.547529
142,1.41000,34.80687,5.69327
143,1.42000,34.80675,4.908113
144,1.43000,34.80662,4.186328
145,1.44000,34.80648,3.52168
146,1.45000,34.80634,2.907491
147,1.46000,34.80619,2.336703
148,1.47000,34.80604,1.801946
149,1.48000,34.80589,1.295609
150,1.49000,34.80573,0.8099135
151,1.50000,34.80559,0.3369862
152,1.51000,34.80545,-0.1310654
153,1.52000,34.80533,-0.6020806
154,1.53000,34.80523,-1.083773
155,1.54000,34.80515,-1.583665
156,1.55000,34.80509,-2.109018
157,1.56000,34.80507,-2.666781
158,1.57000,34.80508,-3.263528
159,1.58000,34.80514,-3.905418
160,1.59000,34.80524,-4.598148
161,1.60000,34.80539,-5.346921
162,1.61000,34.80559,-6.156419
163,1.62000,34.80585,-7.030782
164,1.63000,34.80616,-7.973593
165,1.64000,34.80655,-8.98787
166,1.65000,34.80699,-10.07607
167,1.66000,34.80749,-11.24008
168,1.67000,34.80806,-12.48124
169,1.68000,34.80869,-13.80035
170,1.69000,34.80938,-15.19767
171,1.70000,34.81013,-16.67298
172,1.71000,34.81093,-18.22555
173,1.72000,34.81178,-19.85419
174,1.73000,34.81266,-21.55727
175,1.74000,34.81359,-23.33275
176,1.75000,34.81454,-25.17818
177,1.76000,34.81551,-27.09078
178,1.77000,34.81648,-29.06737
179,1.78000,34.81746,-31.1045
180,1.79000,34.81843,-33.19842
181,1.80000,34.81938,-35.34511
182,1.81000,34.82031,-37.54032
183,1.82000,34.8212,-39.77959
184,1.83000,34.82205,-42.0583
185,1.84000,34.82285,-44.37169
186,1.85000,34.82359,-46.71485
187,1.86000,34.82428,-49.08284
188,1.87000,34.8249,-51.47062
189,1.88000,34.82545,-53.87317
190,1.89000,34.82595,-56.28542
191,1.90000,34.82637,-58.70234
192,1.91000,34.82674,-61.11895
193,1.92000,34.82706,-63.53027
194,1.93000,34.82732,-65.9314
195,1.94000,34.82753,-68.31746
196,1.95000,34.82771,-70.68363
197,1.96000,34.82787,-73.0251
198,1.97000,34.82801,-75.33705
199,1.98000,34.82814,-77.61465
200,1.99000,34.82829,-79.85303
201,2.00000,34.82845,-82.04721
202,2.01000,34.82864,-84.19211
203,2.02000,34.82887,-86.28249
204,2.03000,34.82917,-88.31294
205,2.04000,34.82952,-90.27782
206,2.05000,34.82997,-92.17125
207,2.06000,34.8305,-93.98707
208,2.07000,34.83113,-95.71882
209,2.08000,34.83186,-97.35975
210,2.09000,34.83272,-98.90279
211,2.10000,34.83369,-100.3406
212,2.11000,34.83479,-101.6654
213,2.12000,34.83602,-102.8693
214,2.13000,34.83738,-103.9441
215,2.14000,34.83886,-104.8815
216,2.15000,34.84047,-105.6727
217,2.16000,34.84221,-106.3093
218,2.17000,34.84407,-106.7826
219,2.18000,34.84604,-107.0841
220,2.19000,34.84812,-107.2054
221,2.20000,34.8503,-107.1384
222,2.21000,34.85257,-106.8757
223,2.22000,34.85492,-106.41
224,2.23000,34.85734,-105.7351
225,2.24000,34.85983,-104.8454
226,2.25000,34.86238,-103.7362
227,2.26000,34.86497,-102.404
228,2.27000,34.8676,-100.8465
229,2.28000,34.87026,-99.06273
230,2.29000,34.87293,-97.05318
231,2.30000,34.87561,-94.81986
232,2.31000,34.8783,-92.36639
233,2.32000,34.88097,-89.69807
234,2.33000,34.88363,-86.82194
235,2.34000,34.88626,-83.74672
236,2.35000,34.88885,-80.48289
237,2.36000,34.8914,-77.04257
238,2.37000,34.89389,-73.43953
239,2.38000,34.89631,-69.68902
240,2.39000,34.89867,-65.80775
241,2.40000,34.90094,-61.81369
242,2.41000,34.90313,-57.72596
243,2.42000,34.90522,-53.56461
